,residual_load,total_load,marginal_fuel,efficiency,marginal_cost,MEFs,XEFs
0,29590.0,51666.75,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,350.90724688944647
1,29590.0,51666.75,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,350.90724688944647
2,29590.0,51666.75,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,350.90724688944647
3,29590.0,51666.75,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,350.90724688944647
4,30315.25,52321.5,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,362.09091105856055
5,30315.25,52321.5,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,362.09091105856055
6,30315.25,52321.5,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,362.09091105856055
7,30315.25,52321.5,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,362.09091105856055
8,29772.0,51490.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,356.0557265493841
9,29772.0,51490.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,356.0557265493841
10,29772.0,51490.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,356.0557265493841
11,29772.0,51490.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,356.0557265493841
12,30339.75,51685.25,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,367.085053612783
13,30339.75,51685.25,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,367.085053612783
14,30339.75,51685.25,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,367.085053612783
15,30339.75,51685.25,lignite,0.3308864169589156,24.819412697382592,1132.3740526371996,367.085053612783
16,29781.0,51270.5,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,357.77776334571746
17,29781.0,51270.5,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,357.77776334571746
18,29781.0,51270.5,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,357.77776334571746
19,29781.0,51270.5,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,357.77776334571746
20,29748.0,51619.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,354.6469168551192
21,29748.0,51619.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,354.6469168551192
22,29748.0,51619.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,354.6469168551192
23,29748.0,51619.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,354.6469168551192
24,29174.5,51702.75,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,341.7230640030605
25,29174.5,51702.75,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,341.7230640030605
26,29174.5,51702.75,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,341.7230640030605
27,29174.5,51702.75,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,341.7230640030605
28,28844.0,51334.75,lignite,0.3404328125712345,24.12342828070699,1100.6200903620809,337.0563113917433
29,28844.0,51334.75,lignite,0.3404328125712345,24.12342828070699,1100.6200903620809,337.0563113917433
30,28844.0,51334.75,lignite,0.3404328125712345,24.12342828070699,1100.6200903620809,337.0563113917433
31,28844.0,51334.75,lignite,0.3404328125712345,24.12342828070699,1100.6200903620809,337.0563113917433
32,29037.0,51736.25,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,338.55601171913406
33,29037.0,51736.25,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,338.55601171913406
34,29037.0,51736.25,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,338.55601171913406
35,29037.0,51736.25,lignite,0.3380462136681548,24.293739158762776,1108.3904442195098,338.55601171913406
36,29428.75,53848.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,333.3485907502561
37,29428.75,53848.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,333.3485907502561
38,29428.75,53848.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,333.3485907502561
39,29428.75,53848.25,lignite,0.33565961476507505,24.46647191741945,1116.2712952423824,333.3485907502561
40,30030.0,55847.75,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,333.46709231647344
41,30030.0,55847.75,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,333.46709231647344
42,30030.0,55847.75,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,333.46709231647344
43,30030.0,55847.75,lignite,0.3332730158619953,24.641678586610226,1124.2650172719752,333.46709231647344
44,31179.25,57948.75,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,343.9232316450943
45,31179.25,57948.75,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,343.9232316450943
46,31179.25,57948.75,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,343.9232316450943
47,31179.25,57948.75,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,343.9232316450943
48,31248.0,58048.5,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,344.692999093301
49,31248.0,58048.5,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,344.692999093301
50,31248.0,58048.5,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,344.692999093301
51,31248.0,58048.5,lignite,0.3261132191527561,25.182685203002244,1148.9481901647803,344.692999093301
52,30935.75,55693.25,lignite,0.32849981805583583,24.99972933642739,1140.600914642464,352.8368404970474
53,30935.75,55693.25,lignite,0.32849981805583583,24.99972933642739,1140.600914642464,352.8368404970474
54,30935.75,55693.25,lignite,0.32849981805583583,24.99972933642739,1140.600914642464,352.8368404970474
